#   ds =     0.0001
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.5000000     -1.7500000    1.4142136     5.3385391     
0.0001000     1.4998252     -1.7467563    1.4121992     5.3385391     
0.0002000     1.4996516     -1.7369722    1.4081803     5.3263234     
0.0003000     1.4994807     -1.7207513    1.4021765     5.3019528     
0.0004000     1.4993136     -1.6982654    1.3942173     5.2655494     
0.0005000     1.4991516     -1.6697518    1.3843420     5.2172959     
0.0006000     1.4989958     -1.6355108    1.3725996     5.1574364     
0.0007000     1.4988474     -1.5959008    1.3590487     5.0862754     
0.0008000     1.4987074     -1.5513345    1.3437577     5.0041791     
0.0009000     1.4985766     -1.5022730    1.3268044     4.9115752     
0.0010000     1.4984560     -1.4492197    1.3082761     4.8089537     
0.0011000     1.4983463     -1.3927145    1.2882697     4.6968683     
0.0012000     1.4982482     -1.3333261    1.2668913     4.5759384     
0.0013000     1.4981620     -1.2716455    1.2442566     4.4468512     
0.0014000     1.4980883     -1.2082785    1.2204901     4.3103660     
0.0015000     1.4980273     -1.1438382    1.1957260     4.1673188     
0.0016000     1.4979791     -1.0789380    1.1701074     4.0186294     
0.0017000     1.4979437     -1.0141841    1.1437862     3.8653096     
0.0018000     1.4979212     -0.9501688    1.1169235     3.7084747     
0.0019000     1.4979112     -0.8874634    1.0896890     3.5493568     
0.0020000     1.4979135     -0.8266125    1.0622606     3.3893215     
0.0021000     1.4979276     -0.7681280    1.0348240     3.2298872     
0.0022000     1.4979531     -0.7124836    1.0075725     3.0727455     
0.0023000     1.4979892     -0.6601107    0.9807051     2.9197825     
0.0024000     1.4980353     -0.6113935    0.9544261     2.7730943     
0.0025000     1.4980907     -0.5666666    0.9289429     2.6349918     
0.0026000     1.4981545     -0.5262114    0.9044637     2.5079816     
0.0027000     1.4982259     -0.4902548    0.8811948     2.3947100     
0.0028000     1.4983039     -0.4589674    0.8593366     2.2978515     
0.0029000     1.4983875     -0.4324634    0.8390798     2.2199318     
0.0030000     1.4984760     -0.4108004    0.8206003     2.1630901     
0.0031000     1.4985681     -0.3939804    0.8040537     2.1288146     
0.0032000     1.4986631     -0.3819515    0.7895703     2.1177120     
0.0033000     1.4987600     -0.3746095    0.7772496     2.1293854     
0.0034000     1.4988578     -0.3718017    0.7671558     2.1624643     
0.0035000     1.4989557     -0.3733292    0.7593147     2.2147826     
0.0036000     1.4990528     -0.3789516    0.7537120     2.2836447     
0.0037000     1.4991483     -0.3883911    0.7502935     2.3661069     
0.0038000     1.4992416     -0.4013371    0.7489673     2.4592141     
0.0039000     1.4993319     -0.4174518    0.7496076     2.5601655     
0.0040000     1.4994187     -0.4363753    0.7520606     2.6664096     
0.0041000     1.4995014     -0.4577311    0.7561505     2.7756847     
0.0042000     1.4995796     -0.4811322    0.7616861     2.8860234     
0.0043000     1.4996530     -0.5061865    0.7684680     2.9957362     
0.0044000     1.4997211     -0.5325027    0.7762944     3.1033874     
0.0045000     1.4997840     -0.5596959    0.7849664     3.2077664     
0.0046000     1.4998413     -0.5873927    0.7942929     3.3078625     
0.0047000     1.4998930     -0.6152363    0.8040933     3.4028412     
0.0048000     1.4999392     -0.6428911    0.8142005     3.4920244     
0.0049000     1.4999799     -0.6700472    0.8244627     3.5748745     
0.0050000     1.5000153     -0.6964232    0.8347437     3.6509800     
0.0051000     1.5000454     -0.7217702    0.8449243     3.7200454     
0.0052000     1.5000707     -0.7458736    0.8549013     3.7818818     
0.0053000     1.5000912     -0.7685547    0.8645878     3.8363995     
0.0054000     1.5001074     -0.7896724    0.8739120     3.8836018     
0.0055000     1.5001196     -0.8091230    0.8828170     3.9235794     
0.0056000     1.5001280     -0.8268400    0.8912593     3.9565055     
0.0057000     1.5001330     -0.8427932    0.8992079     3.9826313     
0.0058000     1.5001351     -0.8569868    0.9066433     4.0022810     
0.0059000     1.5001345     -0.8694576    0.9135563     4.0158475     
0.0060000     1.5001315     -0.8802716    0.9199466     4.0237869     
0.0061000     1.5001266     -0.8895214    0.9258220     4.0266135     
0.0062000     1.5001200     -0.8973220    0.9311967     4.0248929     
0.0063000     1.5001119     -0.9038075    0.9360903     4.0192355     
0.0064000     1.5001027     -0.9091259    0.9405266     4.0102888     
0.0065000     1.5000925     -0.9134360    0.9445327     3.9987280     
0.0066000     1.5000815     -0.9169020    0.9481370     3.9852466     
0.0067000     1.5000699     -0.9196898    0.9513691     3.9705453     
0.0068000     1.5000578     -0.9219624    0.9542579     3.9553203     
0.0069000     1.5000452     -0.9238762    0.9568312     3.9402501     
0.0070000     1.5000323     -0.9255767    0.9591143     3.9259826     
0.0071000     1.5000191     -0.9271960    0.9611296     3.9131210     
