#   ds =       0.01
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.5000000     -1.7500000    1.4142136     5.3385391     
0.0100000     1.4841199     -1.4262088    1.2226873     5.3385391     
0.0200000     1.4788449     -0.7607009    0.9466145     4.1691946     
0.0300000     1.4849575     -0.3397291    0.7751986     2.5858135     
0.0400000     1.4945364     -0.3977925    0.8072317     2.3835914     
0.0500000     1.5002143     -0.6768154    0.9052718     3.4622200     
0.0600000     1.5011966     -0.8435596    0.9630920     4.0894526     
0.0700000     1.5003765     -0.8742524    0.9879568     4.0583183     
0.0800000     1.4989109     -0.9196543    0.9921367     3.9677220     
0.0900000     1.4964604     -0.9557525    0.9379229     4.2170116     
0.1000000     1.4950730     -0.7959733    0.7930005     4.3565017     
0.1100000     1.4991592     -0.4274551    0.6380286     3.7984109     
